Result,B365H,B365D,B365A
D,5.0,3.75,1.7
D,1.83,3.5,4.5
H,1.91,3.5,4.2
H,1.29,5.5,11.0
H,1.3,5.5,10.0
H,2.0,3.5,3.75
A,1.91,3.6,4.0
A,2.25,3.25,3.3
A,2.1,3.3,3.6
D,3.5,3.4,2.1
D,2.5,3.3,2.88
H,2.0,3.4,3.8
D,2.0,3.4,3.8
H,2.38,3.3,3.0
A,2.0,3.5,3.75
H,3.25,3.3,2.25
H,1.91,3.5,4.0
H,1.85,3.6,4.33
A,3.5,3.4,2.1
A,1.83,3.5,4.5
H,1.44,4.33,7.5
A,5.5,3.6,1.67
A,2.5,3.25,2.88
H,1.29,5.5,11.0
H,1.17,7.0,17.0
D,1.57,4.0,6.0
A,2.63,3.25,2.75
H,2.4,3.25,3.0
D,2.75,3.25,2.63
H,2.5,3.4,2.75
A,6.5,4.0,1.53
H,2.1,3.4,3.5
D,2.38,3.4,3.0
A,2.0,3.5,3.75
H,1.13,8.5,21.0
D,3.1,3.25,2.38
H,1.83,3.5,4.5
H,4.2,3.4,1.91
A,2.5,3.25,2.88
H,1.57,3.75,6.5
D,2.1,3.4,3.5
A,2.88,3.4,2.4
H,2.5,3.25,2.88
H,2.5,3.25,2.88
H,1.4,4.5,8.5
H,2.88,3.25,2.5
H,3.8,3.4,2.0
A,2.38,3.3,3.0
H,1.29,5.5,11.0
D,1.83,3.6,4.33
H,6.0,3.75,1.62
H,1.44,4.33,7.5
H,1.73,3.4,5.5
A,1.83,3.5,4.5
D,2.75,3.3,2.6
H,1.8,3.6,4.5
A,9.0,5.0,1.33
H,2.4,3.4,2.88
A,3.0,3.4,2.3
H,1.91,3.6,4.0
H,5.0,3.6,1.73
D,1.4,4.5,8.5
H,1.33,5.0,10.0
H,2.4,3.4,2.9
D,1.83,3.6,4.33
A,1.29,5.5,11.0
H,1.73,3.75,4.75
D,6.0,3.75,1.62
H,2.0,3.4,3.8
A,2.2,3.25,3.4
A,2.3,3.4,3.1
H,1.22,6.0,15.0
A,4.5,3.5,1.83
H,1.83,3.5,4.5
H,1.7,3.75,5.0
D,1.22,6.5,12.0
H,5.5,4.2,1.57
H,2.63,3.25,2.75
A,2.3,3.4,3.1
H,2.88,3.4,2.4
H,1.4,4.5,8.5
A,9.0,4.75,1.36
A,2.4,3.4,2.88
A,2.6,3.3,2.75
H,1.25,6.0,12.0
D,1.44,4.33,7.5
D,3.0,3.3,2.4
H,1.57,4.0,6.0
D,3.3,3.4,2.2
H,1.91,3.6,4.0
H,2.4,3.4,2.88
H,1.17,7.5,15.0
D,2.2,3.3,3.4
H,1.83,3.5,4.5
D,3.5,3.4,2.1
H,1.53,4.2,6.0
A,1.29,5.5,11.0
A,3.5,3.4,2.1
H,1.25,5.5,13.0
