Result,B365H,B365D,B365A
A,1.57,3.8,5.5
H,1.83,3.3,4.33
H,2.5,3.1,2.8
A,2.5,3.2,2.75
H,3.4,3.25,2.1
D,1.9,3.3,4.0
H,1.8,3.3,4.5
H,2.4,3.2,2.87
A,5.0,3.6,1.66
D,1.5,4.0,6.0
H,1.28,5.0,10.0
H,1.14,7.0,17.0
H,2.1,3.2,3.5
H,1.83,3.3,4.33
H,1.72,3.5,4.75
A,8.0,4.5,1.36
H,2.3,3.25,3.0
D,1.57,3.6,6.0
A,2.2,3.2,3.25
D,4.33,3.4,1.8
A,3.25,3.2,2.2
H,2.6,3.1,2.7
A,4.75,3.5,1.72
H,1.28,5.0,10.0
H,2.1,3.2,3.5
H,1.14,7.0,19.0
H,3.8,3.4,1.9
H,1.9,3.25,4.0
H,2.1,3.2,3.5
H,2.8,3.25,2.4
A,1.83,3.3,4.33
H,1.25,5.0,13.0
H,1.66,3.6,5.0
A,2.3,3.25,3.0
D,2.4,3.25,2.8
H,2.3,3.25,3.0
A,7.5,4.33,1.4
H,1.3,4.75,8.5
H,2.25,3.2,3.1
A,3.1,3.2,2.25
H,2.3,3.1,3.1
H,2.1,3.25,3.4
H,2.5,3.25,2.7
H,1.5,3.75,7.0
D,2.37,3.2,2.9
A,2.6,3.1,2.7
A,2.0,3.2,3.75
D,2.0,3.2,3.75
A,6.0,3.75,1.5
D,2.6,3.2,2.62
D,2.5,3.1,2.8
A,2.0,3.2,3.75
A,3.2,3.25,2.2
A,3.6,3.3,2.0
A,7.0,3.75,1.5
A,1.72,3.5,4.75
H,1.16,6.5,15.0
H,1.3,5.0,9.0
A,1.95,3.3,3.8
D,2.0,3.3,3.6
H,1.4,4.0,7.0
D,2.1,3.25,3.4
D,4.0,3.25,1.9
H,2.4,3.25,2.8
H,3.1,3.3,2.2
H,1.61,3.6,5.5
H,2.1,3.25,3.4
D,2.3,3.25,3.0
H,2.2,3.2,3.25
H,1.33,4.5,9.5
A,1.9,3.3,4.0
A,9.5,4.5,1.33
H,2.2,3.2,3.25
H,1.72,3.4,5.0
D,2.37,3.2,2.9
H,1.66,3.4,5.5
D,2.1,3.2,3.5
A,1.4,4.33,7.5
A,2.0,3.2,3.75
H,1.44,4.0,7.5
H,1.61,3.6,5.5
H,6.0,4.0,1.5
A,3.8,3.4,1.9
A,2.37,3.25,2.87
A,2.5,3.25,2.7
D,1.9,3.25,4.0
D,2.1,3.2,3.4
D,2.25,3.25,3.1
A,2.2,3.25,3.2
D,3.2,3.25,2.2
H,3.0,3.25,2.3
H,1.66,3.6,5.0
D,4.0,3.5,1.83
A,2.1,3.25,3.4
H,2.1,3.25,3.4
H,1.9,3.25,4.0
H,2.4,3.25,2.8
H,1.72,3.5,4.75
D,3.0,3.3,2.25
H,1.4,4.33,7.5
H,1.14,7.0,17.0
H,1.61,3.6,5.5
H,1.36,4.5,8.0
A,7.0,4.2,1.44
A,1.83,3.3,4.33
D,2.05,3.25,3.6
D,2.25,3.2,3.1
H,1.36,4.5,8.0
D,1.2,6.0,13.0
D,2.7,3.25,2.5
D,2.62,3.25,2.6
H,2.4,3.4,2.75
D,2.2,2.5,3.2
D,6.0,3.8,1.53
H,2.1,3.25,3.4
D,1.28,5.0,10.0
A,5.0,3.6,1.66
A,2.3,3.25,3.0
A,2.7,3.25,2.5
H,3.2,3.25,2.2
H,1.57,3.8,5.5
A,2.1,3.25,3.4
H,1.33,4.5,9.5
H,2.0,3.3,3.6
H,1.9,3.4,4.0
H,1.95,3.3,3.8
H,3.2,3.25,2.2
A,6.0,4.0,1.5
A,2.25,3.3,3.0
A,1.4,4.33,7.5
H,2.15,3.25,3.3
A,2.1,3.25,3.4
D,2.7,3.25,2.5
A,2.87,3.25,2.37
D,2.1,3.2,3.2
D,1.8,3.4,4.33
D,2.0,3.4,3.5
D,1.86,3.4,4.0
D,1.72,3.5,4.75
D,1.36,4.5,8.0
A,1.57,3.6,6.0
H,1.9,3.25,4.0
D,2.7,3.5,2.37
A,2.3,3.4,2.87
H,1.5,3.75,7.0
D,2.8,3.3,2.37
H,1.9,3.1,4.33
D,1.8,3.1,5.0
H,2.25,3.2,3.1
D,2.1,3.25,3.4
D,2.3,3.25,3.0
D,2.1,3.25,3.4
D,2.4,3.2,2.87
D,3.1,3.2,2.25
H,2.1,3.25,3.4
A,6.0,3.4,1.61
A,4.5,3.2,1.83
H,2.0,3.2,3.75
A,2.3,3.25,3.0
H,2.25,3.2,3.1
H,1.57,3.5,6.5
H,1.25,5.0,13.0
A,1.66,3.4,5.5
H,2.3,3.25,3.0
H,1.36,4.33,9.0
D,2.87,3.2,2.4
H,1.9,3.1,4.33
A,8.5,3.75,1.44
H,1.28,5.0,10.0
H,2.5,3.2,2.75
A,2.5,3.2,2.75
D,1.44,4.0,7.5
A,2.25,3.2,3.1
D,2.75,3.2,2.5
H,2.4,3.2,2.87
D,5.0,3.4,1.72
H,1.28,5.0,10.0
H,2.0,3.2,3.75
H,2.25,3.2,3.1
H,1.44,4.0,7.5
A,9.0,4.33,1.36
H,2.0,3.2,3.75
H,3.2,3.25,2.2
D,1.28,5.0,10.0
H,2.3,3.25,3.0
D,4.333,3.1,1.909
D,3.75,3.5,1.909
A,7.0,3.6,1.533
H,1.444,3.75,8.5
A,1.909,3.1,4.333
H,1.909,3.1,4.333
H,1.667,3.4,5.5
H,1.8,3.5,4.333
D,1.571,3.5,6.5
D,1.833,3.3,4.333
D,1.25,5.0,13.0
D,1.9,3.1,4.33
H,2.2,3.25,3.2
A,2.6,3.2,2.62
D,2.75,3.2,2.5
D,2.5,3.2,2.75
D,1.5,3.6,7.5
H,2.5,3.2,2.75
A,2.87,3.25,2.37
H,2.0,3.2,3.75
D,1.5,3.6,7.5
D,2.0,3.2,3.75
H,2.0,3.2,3.75
H,1.4,4.0,9.0
A,6.5,3.5,1.57
A,3.5,3.2,2.1
H,1.5,3.75,7.0
A,3.4,3.25,2.1
A,2.25,3.2,3.1
H,2.1,3.25,3.4
H,1.28,5.0,10.0
D,2.37,3.25,2.87
A,2.25,3.2,3.1
D,2.37,3.25,2.87
D,2.37,3.25,2.87
H,2.75,3.2,2.5
D,2.62,3.2,2.6
H,1.8,3.1,5.0
D,1.4,4.0,9.0
H,2.62,3.2,2.6
H,1.3,5.0,9.5
D,5.5,3.2,1.72
A,2.5,3.2,2.75
H,1.61,3.6,5.5
H,1.72,3.4,5.0
A,3.4,3.25,2.1
H,5.5,3.2,1.72
D,2.1,3.25,3.4
D,2.75,3.2,2.5
H,2.6,3.2,2.62
H,1.8,3.3,4.5
H,1.28,5.0,10.0
H,2.3,3.25,3.0
H,1.5,3.6,7.5
A,2.75,3.2,2.5
A,1.9,3.25,4.0
H,2.62,3.0,2.75
D,1.66,3.4,5.5
H,1.66,3.4,5.5
D,2.5,3.2,2.75
D,1.16,6.5,15.0
A,1.83,3.25,4.5
D,5.0,3.1,1.8
A,2.6,3.2,2.62
D,2.1,3.2,3.5
H,2.5,3.2,2.75
H,5.5,3.4,1.66
A,7.5,4.0,1.44
H,2.5,3.2,2.75
D,1.72,3.4,5.0
H,1.83,3.3,4.33
H,1.4,4.0,9.0
D,7.5,4.0,1.44
A,1.5,3.6,7.5
D,2.3,3.25,3.0
D,2.0,3.2,3.75
A,1.9,3.1,4.33
D,1.4,4.0,9.0
D,2.0,3.2,3.75
A,1.57,3.5,6.5
A,2.37,3.1,3.0
A,2.25,3.2,3.1
H,1.8,3.1,5.0
A,6.0,3.2,1.66
H,1.5,3.5,8.0
D,1.8,3.4,4.5
H,2.4,3.2,2.87
A,5.5,3.2,1.72
A,3.0,3.25,2.3
A,3.1,3.1,2.3
D,1.16,6.5,15.0
D,1.36,4.33,9.0
A,3.1,3.2,2.25
H,1.83,3.25,4.5
H,1.33,4.5,9.5
H,2.5,3.2,2.75
H,2.37,3.1,3.0
A,2.3,3.25,3.0
D,2.3,3.1,3.1
H,2.0,3.2,3.75
D,1.83,3.25,4.5
A,1.61,3.4,6.0
A,6.5,3.5,1.57
A,1.9,3.3,4.0
H,2.3,3.25,3.0
D,2.0,3.2,3.75
A,7.0,3.6,1.53
H,3.4,3.25,2.1
D,1.83,3.25,4.5
H,2.5,3.1,2.8
H,1.33,4.5,9.5
D,2.5,3.2,2.75
A,2.5,3.2,2.75
H,1.44,4.0,7.5
H,2.0,3.2,3.75
H,1.22,5.5,13.0
A,2.37,3.25,2.87
H,1.83,3.3,4.33
A,2.37,3.2,2.9
H,1.83,3.25,4.5
D,2.3,3.25,3.0
H,2.6,3.2,2.62
A,2.1,3.25,3.4
D,1.57,3.5,6.5
H,2.75,3.2,2.5
D,2.87,3.2,2.4
A,2.5,3.1,2.8
D,2.5,3.1,2.8
A,2.0,3.1,4.0
D,6.5,3.5,1.57
D,1.44,4.0,7.5
H,1.8,3.1,5.0
D,2.75,3.2,2.5
A,2.2,3.2,3.25
H,1.16,6.5,15.0
H,1.22,5.5,13.0
H,1.9,3.1,4.33
H,1.72,3.4,5.0
H,1.9,3.1,4.33
A,6.5,3.5,1.57
H,2.0,3.2,3.75
H,1.25,5.0,13.0
H,2.62,3.2,2.62
D,2.6,3.25,2.6
H,1.3,4.5,12.0
A,2.5,3.2,2.75
H,1.9,3.25,4.0
H,1.28,5.0,10.0
A,3.0,3.25,2.3
D,2.6,3.25,2.6
A,5.5,3.4,1.66
A,4.75,3.5,1.72
A,2.0,3.2,3.75
H,2.62,3.2,2.6
A,2.37,3.2,2.9
H,1.36,4.33,9.0
D,1.53,3.75,6.5
H,1.5,3.75,7.0
A,6.5,3.75,1.53
D,1.57,3.5,6.5
A,3.75,3.5,1.9
H,1.9,3.1,4.33
D,1.66,3.4,5.5
A,6.0,3.4,1.61
H,2.0,3.2,3.75
A,3.1,3.2,2.25
H,1.72,3.4,5.0
A,3.5,3.2,2.1
H,1.9,3.1,4.33
D,1.66,3.4,5.5
H,2.25,3.2,3.1
H,2.3,3.2,2.7
H,2.5,3.2,2.5
A,4.33,3.4,1.66
D,3.6,3.4,1.83
D,1.28,4.5,9.0
A,1.8,3.25,4.0
H,1.36,4.0,7.5
H,1.72,3.25,4.33
D,1.4,3.75,7.5
D,2.37,3.2,2.62
H,1.72,3.4,5.0
H,6.5,3.5,1.57
H,2.2,3.1,3.4
A,2.62,3.2,2.6
H,1.72,3.4,5.0
H,1.57,3.5,6.5
A,2.2,3.1,3.4
A,4.5,3.25,1.83
H,1.8,3.1,5.0
D,2.2,3.1,3.4
A,1.9,3.1,4.33
H,1.2,6.0,13.0
H,3.1,3.2,2.25
A,1.83,3.3,4.33
H,1.33,4.5,9.5
D,3.1,3.2,2.25
H,4.5,3.25,1.83
H,3.0,3.25,2.3
H,1.44,4.0,7.5
A,2.3,3.1,3.1
A,2.25,3.1,3.2
H,2.37,3.25,2.87
A,2.87,3.2,2.4
H,2.6,3.2,2.62
D,2.2,3.2,3.25
H,1.9,3.1,4.33
A,7.0,3.75,1.5
H,1.57,3.4,7.0
D,2.25,3.2,3.1
D,2.37,3.25,2.87
A,4.5,3.4,1.8
A,2.5,3.25,2.75
H,1.5,3.75,7.0
H,1.28,5.0,10.0
H,1.8,3.4,4.5
D,1.8,3.4,4.5
H,2.3,3.25,3.0
H,1.72,3.4,5.0
D,1.25,5.5,11.0
D,2.63,3.2,2.63
H,3.2,3.2,2.2
H,1.8,3.4,4.5
D,2.1,3.2,3.5
A,4.5,3.25,1.83
A,2.3,3.25,3.0
A,4.5,3.4,1.8
H,1.22,5.5,13.0
D,2.3,3.25,3.0
A,2.25,3.2,3.1
H,2.6,3.2,2.62
H,1.22,5.5,13.0
D,6.5,3.5,1.57
H,1.8,3.1,5.0
D,1.9,3.1,4.33
H,1.83,3.3,4.33
A,2.6,3.2,2.62
H,1.36,4.33,9.0
H,2.3,3.25,3.0
D,7.5,3.6,1.5
D,2.3,3.25,3.0
H,2.4,3.2,2.87
A,7.5,4.33,1.4
H,2.5,3.2,2.75
A,1.72,3.4,5.0
H,2.75,3.2,2.5
A,2.25,3.2,3.1
H,1.2,6.0,13.0
H,2.37,3.25,2.87
D,1.57,3.5,6.5
A,4.5,3.4,1.8
H,1.57,3.6,6.0
A,1.66,3.4,5.5
H,1.2,6.0,13.0
H,1.25,5.0,13.0
D,2.75,3.2,2.5
H,1.83,3.3,4.33
H,2.3,3.1,3.1
H,1.9,3.1,4.33
A,1.8,3.4,4.5
H,1.2,6.0,13.0
D,2.37,3.2,2.9
D,2.0,3.2,3.75
A,2.37,3.2,2.9
H,1.83,3.25,4.5
D,1.28,5.0,10.0
A,1.72,3.4,5.0
A,6.5,3.5,1.57
H,2.1,3.25,3.4
H,2.75,3.2,2.5
H,2.1,3.2,3.5
H,1.72,3.4,5.0
D,1.25,5.5,11.0
H,2.87,3.2,2.4
A,5.0,3.1,1.8
H,7.5,4.0,1.44
H,2.3,3.25,3.0
D,1.83,3.25,4.5
H,1.66,3.4,5.5
H,2.1,3.25,3.4
D,1.9,3.1,4.33
A,2.4,3.2,2.87
D,2.0,3.2,3.75
D,2.3,3.25,3.0
D,1.83,3.25,4.5
A,2.2,3.2,3.25
D,1.61,3.6,5.5
D,1.83,3.3,4.33
D,1.9,3.1,4.33
H,1.9,3.3,4.0
D,2.1,3.2,3.5
H,4.0,3.3,1.9
H,2.0,3.2,3.75
H,2.5,3.4,2.62
A,3.2,3.25,2.2
D,1.66,3.4,5.5
D,2.37,3.25,2.87
D,2.3,3.25,3.0
H,1.28,5.0,10.0
H,3.75,3.5,1.9
D,1.66,3.4,5.5
H,1.9,3.3,4.0
H,2.25,3.4,3.0
H,1.36,4.5,8.5
H,2.25,3.25,3.1
H,1.5,3.75,7.0
D,2.1,3.25,3.5
D,2.25,3.25,3.1
H,2.2,3.2,3.25
A,3.75,3.2,2.0
H,2.75,3.2,2.5
D,1.72,3.4,5.0
H,1.72,3.4,5.0
D,1.83,3.3,4.33
H,2.0,3.4,3.5
A,6.0,3.4,1.61
H,1.9,3.3,4.0
A,5.0,3.6,1.66
A,2.2,3.4,2.75
A,2.37,3.25,2.87
A,2.1,3.25,3.4
H,1.28,5.0,10.0
D,2.2,3.4,3.0
H,1.72,3.4,5.0
D,1.3,5.0,9.0
H,2.25,3.2,3.1
H,1.9,3.5,3.75
D,2.75,3.4,2.4
H,1.72,3.4,5.0
A,2.2,3.25,3.2
H,1.61,3.6,5.5
H,3.4,3.5,2.0
H,1.9,3.4,4.0
D,3.0,3.5,2.2
H,2.8,3.5,2.3
H,1.66,3.4,5.5
D,2.1,3.1,3.6
D,3.2,3.25,2.2
A,2.37,3.6,2.62
D,1.57,3.5,6.5
H,1.57,3.75,6.0
H,2.0,3.3,4.0
H,2.88,3.25,2.5
D,2.2,3.3,3.4
H,1.17,7.0,17.0
D,2.1,3.3,3.6
D,2.4,3.3,3.0
A,1.83,3.5,4.5
H,2.3,3.25,3.2
D,2.5,3.25,2.88
H,1.25,5.5,15.0
H,1.17,7.0,19.0
H,2.2,3.25,3.4
D,1.5,4.0,7.0
A,3.4,3.3,2.2
H,2.5,3.25,2.88
A,2.25,3.3,3.25
A,15.0,6.0,1.22
D,6.0,4.0,1.57
H,3.2,3.25,2.3
H,2.38,3.25,3.1
A,6.0,4.0,1.57
D,3.2,3.25,2.3
H,1.11,9.0,23.0
H,1.14,8.0,19.0
A,1.25,5.75,13.0
D,2.4,3.2,3.1
H,2.5,3.25,2.88
D,2.1,3.3,3.6
H,1.22,6.0,15.0
H,4.5,3.5,1.83
H,1.25,5.5,13.0
D,4.2,3.4,1.91
H,1.83,3.5,4.5
D,1.33,5.0,10.0
A,1.57,4.0,6.0
D,3.75,3.25,2.1
A,10.0,5.0,1.33
D,2.5,3.25,2.88
D,3.1,3.2,2.4
H,2.5,3.25,2.88
D,1.8,3.6,4.5
D,2.0,3.3,4.0
A,1.62,3.75,6.0
D,1.91,3.4,4.2
D,5.5,3.7,1.67
H,1.4,4.5,8.5
H,2.25,3.3,3.25
H,1.1,9.0,26.0
H,1.7,3.5,5.5
A,5.0,3.6,1.73
A,1.22,6.0,15.0
D,1.83,3.5,4.5
A,3.2,3.25,2.3
D,2.75,3.2,2.63
D,1.44,4.33,7.5
H,3.6,3.3,2.1
H,3.5,3.4,2.1
D,7.5,4.0,1.5
A,1.91,3.4,4.2
A,2.88,3.25,2.5
A,2.88,3.1,2.63
H,2.25,3.2,3.4
D,5.0,3.5,1.75
H,1.91,3.5,4.0
D,2.1,3.25,3.75
D,2.25,3.25,3.3
H,2.25,3.25,3.3
H,1.73,3.6,5.0
A,1.33,5.0,10.0
H,1.44,4.0,8.5
H,1.29,5.5,11.0
D,5.0,3.6,1.73
H,2.2,3.2,3.5
A,2.88,3.25,2.5
D,1.25,5.75,12.0
D,1.83,3.5,4.5
D,2.25,3.2,3.4
A,5.5,4.0,1.62
H,2.4,3.25,3.0
D,2.1,3.3,3.6
H,1.83,3.6,4.33
H,1.13,8.5,19.0
H,2.4,3.25,3.0
D,2.1,3.25,3.75
H,2.2,3.25,3.4
A,2.38,3.25,3.1
D,2.38,3.25,3.1
H,1.67,3.6,5.5
A,2.5,3.2,2.9
A,5.5,3.75,1.67
H,1.17,7.0,17.0
A,7.5,4.33,1.44
H,1.57,3.75,6.5
H,1.91,3.4,4.2
H,1.57,4.0,6.0
H,5.5,3.4,1.73
D,1.8,3.6,4.5
A,3.4,3.25,2.2
H,2.2,3.2,3.5
H,2.9,3.25,2.5
D,1.91,3.4,4.2
H,1.8,3.6,4.5
D,4.5,3.6,1.8
H,3.0,3.3,2.4
D,2.2,3.25,3.4
H,1.22,6.0,15.0
H,2.1,3.2,3.75
A,1.29,5.5,11.0
H,3.8,3.4,2.0
A,3.6,3.3,2.1
H,2.1,3.2,3.75
D,1.53,4.0,6.5
H,1.62,3.75,6.0
H,1.2,6.5,15.0
D,1.62,3.75,6.0
D,2.63,3.25,2.75
A,1.91,3.4,4.2
D,2.3,3.25,3.2
D,4.75,3.6,1.75
A,5.5,3.6,1.67
D,4.5,3.6,1.8
D,1.4,4.5,8.5
D,1.91,3.4,4.2
H,3.75,3.25,2.1
H,1.57,3.8,6.5
D,1.91,3.6,4.0
H,2.5,3.25,2.88
A,2.4,3.1,3.2
A,1.22,5.75,15.0
A,3.4,3.3,2.2
A,1.62,4.0,5.5
H,5.0,3.6,1.73
H,2.5,3.3,2.88
H,2.1,3.3,3.6
H,1.57,3.8,6.5
H,1.22,6.0,15.0
A,2.2,3.2,3.5
H,2.3,3.25,3.25
A,3.2,3.1,2.4
D,2.6,3.2,2.8
A,3.4,3.3,2.2
D,1.57,4.2,5.5
A,1.57,3.8,6.5
D,2.0,3.3,4.0
H,1.25,5.5,13.0
D,3.4,3.25,2.2
H,2.0,3.5,3.75
H,2.6,3.2,2.8
D,5.0,3.6,1.73
H,2.0,3.4,3.8
H,1.29,5.25,12.0
D,3.5,3.4,2.1
H,1.73,3.6,5.0
D,1.36,4.75,9.0
H,1.53,4.0,6.5
D,2.75,3.2,2.63
H,1.83,3.5,4.5
H,2.25,3.3,3.25
H,1.62,3.75,6.0
H,2.1,3.3,3.6
D,1.4,4.5,9.0
D,2.2,3.25,3.4
H,3.8,3.4,2.0
A,1.62,4.0,5.5
A,4.5,3.6,1.8
H,2.0,3.3,4.0
D,2.8,3.25,2.6
H,2.4,3.25,3.0
H,2.0,3.4,3.8
D,1.8,3.6,4.5
H,2.2,3.2,3.5
A,1.73,3.6,5.0
A,3.2,3.3,2.3
A,2.3,3.2,3.2
H,2.1,3.25,3.75
A,1.91,3.4,4.2
H,1.29,5.5,11.0
A,3.25,3.25,2.25
A,2.1,3.3,3.6
H,2.63,3.2,2.75
D,6.5,4.33,1.5
H,1.44,4.2,8.0
A,1.83,3.4,4.75
A,1.62,3.75,6.0
H,1.53,4.0,6.5
A,1.83,3.5,4.5
D,3.4,3.2,2.25
H,1.29,5.5,11.0
A,1.33,5.0,10.0
D,6.5,4.2,1.5
A,5.5,3.6,1.67
H,1.7,3.75,5.0
H,1.29,5.5,10.0
H,2.63,3.2,2.75
H,1.83,3.5,4.5
H,1.4,4.5,8.5
A,6.0,4.2,1.53
H,2.0,3.4,3.8
D,1.25,5.5,13.0
A,2.5,3.2,2.9
A,2.3,3.25,3.25
H,2.2,3.25,3.4
H,1.25,5.75,12.0
D,1.91,3.6,4.0
A,2.2,3.25,3.4
H,3.4,3.25,2.2
D,1.73,3.6,5.0
H,2.63,3.25,2.75
H,1.83,3.6,4.33
H,8.0,4.2,1.44
H,3.8,3.75,1.91
H,1.29,5.5,11.0
H,1.33,5.0,10.0
H,2.1,3.25,3.75
H,1.8,3.6,4.5
A,6.0,4.0,1.57
D,2.5,3.25,2.88
D,2.4,3.2,3.1
D,2.2,3.2,3.5
D,2.2,3.25,3.4
D,2.88,3.3,2.5
H,1.2,6.5,15.0
H,3.5,3.4,2.1
A,2.5,3.25,2.88
D,1.5,4.0,7.5
H,2.2,3.2,3.5
H,1.2,6.5,15.0
D,3.5,3.4,2.1
A,3.4,3.2,2.25
H,2.25,3.3,3.25
A,6.0,3.75,1.62
A,8.0,5.0,1.36
A,3.2,3.25,2.3
H,1.53,3.8,7.0
H,1.4,4.5,8.5
H,1.33,5.0,9.5
A,5.5,3.6,1.67
D,1.73,3.6,5.0
D,4.5,3.5,1.83
A,3.25,3.4,2.2
A,2.38,3.3,3.0
H,1.83,3.5,4.5
H,2.1,3.3,3.6
H,1.62,3.75,6.0
D,1.91,3.4,4.2
H,1.44,4.5,7.0
H,1.4,4.5,8.5
D,5.0,4.0,1.67
H,2.1,3.2,3.75
H,1.57,4.0,6.0
H,2.5,3.25,2.9
H,8.5,4.5,1.4
A,1.62,4.0,5.5
A,2.0,3.5,3.75
H,1.22,6.0,15.0
H,2.5,3.2,2.9
D,2.1,3.4,3.5
D,3.25,3.4,2.2
D,1.36,4.75,9.0
H,1.73,3.6,5.0
A,2.75,3.25,2.6
D,1.91,3.6,4.0
H,2.75,3.25,2.6
D,5.0,3.6,1.73
A,2.6,3.2,2.8
D,1.85,3.4,4.5
H,4.0,3.6,1.91
H,1.3,5.25,10.0
H,1.73,3.6,5.0
H,1.73,3.6,5.0
D,2.1,3.25,3.75
A,6.5,4.0,1.53
H,1.83,3.6,4.33
D,1.5,4.0,7.5
H,3.4,3.3,2.2
D,1.91,3.4,4.2
H,2.2,3.2,3.6
D,1.44,4.33,7.5
A,2.38,3.2,3.1
H,2.25,3.4,3.2
H,1.73,3.6,5.0
H,1.36,4.75,9.0
A,2.6,3.2,2.8
H,2.25,3.3,3.25
H,2.8,3.2,2.6
D,3.0,3.3,2.38
A,10.0,5.5,1.3
D,1.53,4.0,6.5
A,1.83,3.5,4.5
D,1.8,3.6,4.5
H,2.0,3.25,4.0
H,1.36,4.75,9.0
H,2.2,3.25,3.4
D,1.57,4.0,6.0
D,5.0,3.6,1.73
H,2.1,3.3,3.6
H,1.62,3.75,6.0
A,2.63,3.2,2.75
D,1.25,6.0,11.0
H,2.5,3.25,2.88
D,1.83,3.6,4.33
H,1.95,3.4,4.0
D,5.5,3.6,1.67
H,3.0,3.3,2.38
A,4.5,3.6,1.8
D,3.0,3.25,2.4
H,1.53,4.2,6.0
H,1.5,4.0,7.0
D,2.0,3.3,4.0
H,2.2,3.25,3.4
H,1.2,6.0,17.0
H,1.44,4.33,7.5
A,2.2,3.2,3.5
H,1.73,3.6,5.0
A,2.6,3.25,2.8
H,1.83,3.6,4.33
A,8.5,5.0,1.36
H,2.6,3.2,2.8
H,2.25,3.2,3.4
A,2.3,3.5,3.0
H,1.67,3.75,5.5
A,5.5,3.6,1.7
A,2.25,3.3,3.25
D,1.73,3.6,5.0
D,5.5,3.6,1.67
H,1.2,6.5,15.0
D,2.88,3.4,2.4
D,1.8,3.6,4.5
D,2.88,3.5,2.38
H,1.2,6.5,15.0
H,1.44,4.33,7.5
H,1.44,4.33,7.5
H,2.1,3.25,3.75
D,1.57,4.0,6.0
D,2.5,3.25,2.88
H,4.5,3.8,1.75
A,3.6,3.3,2.1
H,1.8,3.4,5.0
H,1.8,3.5,4.75
H,1.91,3.5,4.0
D,2.63,3.4,2.63
H,1.44,4.33,7.5
A,2.6,3.2,2.8
H,2.38,3.3,3.0
D,2.8,3.25,2.6
H,2.5,3.25,2.88
D,2.1,3.3,3.6
H,1.44,4.33,7.5
H,1.4,4.5,9.0
D,1.8,3.6,4.5
A,1.83,3.5,4.5
H,2.7,3.2,2.7
H,1.91,3.4,4.2
D,1.3,5.5,10.0
D,1.95,3.6,3.8
H,2.38,3.25,3.1
H,5.5,3.75,1.67
H,2.1,3.4,3.5
A,2.88,3.25,2.5
H,1.91,3.4,4.2
D,5.0,3.6,1.73
H,2.2,3.4,3.25
A,2.5,3.25,2.88
H,2.63,3.25,2.75
A,1.36,5.0,8.5
A,2.2,3.25,3.4
D,1.25,6.0,11.0
A,1.73,3.8,4.75
H,2.1,3.4,3.5
H,1.36,4.75,9.0
H,3.2,3.4,2.25
A,5.0,3.75,1.7
H,3.1,3.25,2.38
D,3.75,3.6,1.95
H,1.6,4.0,5.5
D,2.0,3.5,3.75
A,2.75,3.6,2.4
H,1.53,4.0,6.5
A,2.0,3.5,3.75
A,2.2,3.0,3.75
D,1.727,3.25,4.333
A,2.8,3.25,2.2
D,2.25,3.25,2.75
H,1.727,3.25,4.333
H,1.667,3.4,4.5
H,1.2,5.0,12.0
D,2.25,3.25,2.75
H,1.222,5.0,10.0
A,3.0,3.25,2.1
H,1.571,3.4,5.5
D,2.75,3.25,2.25
A,2.625,3.2,2.375
A,2.1,3.25,3.0
H,1.333,4.333,7.5
H,2.5,3.2,2.5
D,2.0,3.25,3.25
A,2.1,3.0,3.25
H,1.833,3.25,3.75
A,3.75,3.25,1.833
D,4.0,3.5,1.727
H,1.17,5.5,13.0
A,2.4,3.2,2.6
H,2.2,3.25,2.8
D,3.0,3.25,2.1
D,1.67,3.4,4.5
A,1.5,3.4,6.5
D,3.0,3.25,2.1
H,4.0,3.25,1.8
H,1.727,3.25,4.333
H,2.2,3.25,2.8
D,5.0,3.4,1.615
H,1.667,3.4,4.5
H,2.625,3.2,2.375
A,1.727,3.5,4.0
H,2.5,3.0,2.625
D,3.0,3.0,2.25
D,1.615,3.4,5.0
H,1.333,4.0,9.0
H,1.333,4.333,7.5
H,2.1,3.0,3.25
H,1.8,3.25,4.0
A,2.5,3.2,2.5
H,2.375,3.2,2.625
D,1.25,4.5,11.0
A,1.2,5.5,10.0
A,2.1,3.25,3.0
H,2.0,3.25,3.25
A,1.571,3.4,5.5
A,4.333,3.25,1.727
A,5.0,3.4,1.615
H,1.909,3.25,3.5
H,2.3,3.2,2.7
H,2.75,3.0,2.375
A,2.1,3.25,3.0
H,2.25,3.25,2.75
D,1.909,3.25,3.5
H,1.667,3.4,4.5
H,2.5,3.0,2.625
H,1.2,5.5,10.0
H,1.25,4.5,11.0
H,1.444,3.75,6.5
H,1.667,3.4,4.5
H,1.727,3.2,4.5
D,2.0,3.25,3.25
D,2.1,3.25,3.0
H,1.833,3.25,3.75
H,2.75,3.25,2.25
D,2.625,3.0,2.5
A,2.625,3.2,2.375
D,2.0,3.25,3.25
A,4.5,3.4,1.667
A,1.571,3.4,5.5
H,2.25,3.25,2.75
A,3.0,3.25,2.1
A,2.8,3.25,2.2
H,2.375,3.0,2.75
A,1.833,3.25,3.75
A,2.6,3.2,2.4
H,1.533,3.5,5.5
H,1.4,3.75,7.5
H,2.3,3.2,2.7
A,1.727,3.25,4.333
H,1.167,5.5,13.0
D,2.6,3.2,2.4
A,2.1,3.25,3.0
H,1.667,3.4,4.5
H,1.727,3.25,4.333
H,1.3,4.5,8.0
H,2.3,3.2,2.7
H,5.5,3.5,1.533
D,4.333,3.25,1.727
A,2.75,3.0,2.375
